original	length	gc	split
ENSMUSG00000102693.1	1070.0	0.34205607476635513	ENSMUSG00000102693
ENSMUSG00000064842.1	110.0	0.36363636363636365	ENSMUSG00000064842
ENSMUSG00000051951.5	6094.0	0.42517230062356415	ENSMUSG00000051951
ENSMUSG00000102851.1	480.0	0.3979166666666667	ENSMUSG00000102851
ENSMUSG00000103377.1	2819.0	0.4079460801702731	ENSMUSG00000103377
ENSMUSG00000104017.1	2233.0	0.36990595611285265	ENSMUSG00000104017
ENSMUSG00000103025.1	2309.0	0.38674750974447814	ENSMUSG00000103025
ENSMUSG00000089699.1	250.0	0.41200000000000003	ENSMUSG00000089699
ENSMUSG00000103201.1	2057.0	0.37433155080213903	ENSMUSG00000103201
ENSMUSG00000103147.1	926.0	0.4989200863930885	ENSMUSG00000103147
ENSMUSG00000103161.1	3012.0	0.3881142098273572	ENSMUSG00000103161
ENSMUSG00000102331.1	3259.0	0.3807916538815588	ENSMUSG00000102331
ENSMUSG00000102348.1	1634.0	0.3647490820073439	ENSMUSG00000102348
ENSMUSG00000102592.1	2351.0	0.4257762654189706	ENSMUSG00000102592
ENSMUSG00000088333.2	58.0	0.41379310344827586	ENSMUSG00000088333
ENSMUSG00000102343.1	1364.0	0.37976539589442815	ENSMUSG00000102343
ENSMUSG00000102948.1	1867.0	0.5591858596679165	ENSMUSG00000102948
ENSMUSG00000025900.9	12311.0	0.3880269677524165	ENSMUSG00000025900
ENSMUSG00000104123.1	1484.0	0.4022911051212938	ENSMUSG00000104123
ENSMUSG00000025902.12	4772.0	0.4742246437552389	ENSMUSG00000025902
ENSMUSG00000104238.1	2917.0	0.4744600617072334	ENSMUSG00000104238
ENSMUSG00000102269.1	2991.0	0.5466399197592778	ENSMUSG00000102269
ENSMUSG00000096126.1	107.0	0.4485981308411215	ENSMUSG00000096126
ENSMUSG00000103003.1	450.0	0.4488888888888889	ENSMUSG00000103003
ENSMUSG00000104328.1	2773.0	0.3717994951316264	ENSMUSG00000104328
ENSMUSG00000102735.1	936.0	0.45619658119658124	ENSMUSG00000102735
ENSMUSG00000098104.1	1470.0	0.580952380952381	ENSMUSG00000098104
ENSMUSG00000102175.1	1206.0	0.4684908789386401	ENSMUSG00000102175
ENSMUSG00000088000.1	103.0	0.4368932038834952	ENSMUSG00000088000
ENSMUSG00000103265.1	631.0	0.4643423137876387	ENSMUSG00000103265
ENSMUSG00000103922.1	1069.0	0.48924228250701585	ENSMUSG00000103922
ENSMUSG00000033845.12	8487.0	0.43171909979969364	ENSMUSG00000033845
ENSMUSG00000102275.1	1150.0	0.4217391304347826	ENSMUSG00000102275
ENSMUSG00000025903.13	7145.0	0.3958012596221134	ENSMUSG00000025903
ENSMUSG00000104217.1	825.0	0.4763636363636364	ENSMUSG00000104217
ENSMUSG00000033813.14	3017.0	0.429897248922771	ENSMUSG00000033813
ENSMUSG00000062588.4	603.0	0.44941956882255385	ENSMUSG00000062588
ENSMUSG00000103280.1	1111.0	0.42484248424842486	ENSMUSG00000103280
ENSMUSG00000002459.16	4239.0	0.37980655815050723	ENSMUSG00000002459
ENSMUSG00000091305.1	272.0	0.4595588235294118	ENSMUSG00000091305
ENSMUSG00000102653.1	2135.0	0.4444964871194379	ENSMUSG00000102653
ENSMUSG00000085623.1	3725.0	0.4246979865771812	ENSMUSG00000085623
